id,nombre_comercial,pagina_web,pagina_eventos
135,Companyia de Teatre Anna Roca,https://www.annaroca.com/,NULL
136,A la Sombrita,https://alasombrita.com/,https://alasombrita.com/
137,Higiénico Papel Teatro,https://higienicopapel.com/,NULL
138,Tarambana,https://www.tarambanaespectaculos.com/,NULL
139,Lapso Producciones,https://lapsoproducciones.com/,NULL
140,LAVIEBEL,https://laviebel.com,NULL
141,Titiriteros de Binéfar,http://www.titiriteros.com/,NULL
142,Teatre de la Caixeta,https://www.teatrecaixeta.com/,NULL
143,PATA TEATRO,https://www.patateatro.com/,NULL
144,Teatro Silfo,http://www.teatrosilfo.com/,NULL
145,Compañía Murciana de Danza,,NULL
146,Talía Teatro,http://taliateatro.gal/,NULL
147,TEATRO PLUS,http://teatroplus.com/,NULL
148,LaSaL Teatro,http://www.lasalteatro.com/,NULL
149,Sol y Tierra. Teatro de Títeres,http://www.solytierra.com/,NULL
150,Titiritran Teatro,https://www.titiritran.es/,NULL
151,Teatro Paraíso,https://teatroparaiso.com/,NULL
152,Teatro Tyl Tyl,https://www.tyltyl.org/,NULL
153,L'Horta Teatre,https://www.lhortateatre.com/,NULL
154,Teatro Arbolé,https://www.teatroarbole.es/,NULL
155,La Gotera de Lazotea,http://www.lagoteradelazotea.es/,NULL
156,Hortzmuga Teatroa,http://hortzmuga.com/,NULL
157,Eugenia Manzanera,https://eugeniamanzanera.com/,NULL
158,javier arozena cía.,https://www.javierarozenacia.com,NULL
159,Gloria Godínez,https://lucurita.wixsite.com/gloriagodinez?fbclid=IwAR1zgziYWLfJ-iz9IIdaEkJQtKqDHyY-GZohdZdP43CybsKl8WPi8gHJ2iA,NULL
160,Territorio Violeta,https://www.territoriovioleta.com/,NULL
161,Windu,https://www.winduquartet.com,NULL
162,Ultramarinos de Lucas,https://www.ultramarinosdelucas.com/,NULL
163,Lucía Marote,http://www.luciamarote.com/,NULL
164,Danza y Psicología,,NULL
165,Aurora Arteaga,https://www.aurorarteaga.com,NULL
166,FRITSCH COMPANY,,NULL
167,FRITSCH COMPANY,,NULL
171,CIDANZ Producciones de danza (Ballet Contemporáneo de Burgos Sl),,NULL
173,DANTZAZ,,NULL
174,la mínima,https://www.laminima.com/,NULL
175,JOVEN COMPAÑÍA DE DANZA. Egresados centros oficiales de Castilla y León,http://www.jcdcyl.com,NULL
178,De Sangre y Raza, Cia de danza,http://www.desangreyraza.com/,NULL
182,Gabriel Aragú Compañía,https://www.gabrielaragu.es/,NULL
183,Mari Paula,https://www.maripaula.com/,NULL
184,Plataforma Conectada,,NULL
185,Caminantes Danza,https://www.caminantesdanza.com/,NULL
186,Cia Natalia Jimenénez Gallardo,,NULL
187,Tranvía Teatro,https://teatrodelaestacion.com/index.php/compania/,NULL
188,COMPAÑÍA SAMA,,NULL
189,Ana Continente Danza,,NULL
190,Art urbana,https://www.walbermelo.com/,NULL
